Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4230699.37,182756.77,508088.70,1412,0,1029,0,2039,0,364,0,31,0.782794311685758,3192
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,19246520.02,461490.20,152820.00,4983,0,3679,0,7610,0,1647,0,54,0.8497601512751778,16080
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1665534.54,33384.24,13960.00,647,0,917,0,969,0,149,0,14,0.7054498739946016,1536
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3333732.61,2293384.42,3536964.00,3018,0,2460,0,3510,0,1144,0,26,0.912098474935304,10416
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,5175222.58,906433.71,1553478.00,809,0,371,0,1583,0,457,0,39,0.46254887626962304,5244
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1492007.96,461525.96,1164948.00,398,0,163,0,613,0,256,0,9,0.9460247438832801,2352
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2600982.68,949452.29,265794.84,902,0,437,0,1391,0,226,0,22,0.8757899251409609,2604
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1377821.55,564766.51,274983.22,469,0,190,0,655,0,235,0,20,0.9096761609769051,2208
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,774560.27,162335.10,217776.00,236,0,120,0,326,0,116,0,15,0.9100784028371599,828
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,13189281.79,0.00,0,3522,0,1439,0,5377,0,1575,42,1.0687775522642844,14952
